Rank,Rider,Rider No.,Team,Times,Gap,Stages,Year,B,P
1,SYLVAIN CHAVANEL,131,QUICK STEP,00h 00' 00'',-,20,2010,,
1,JÉRÉMY ROY,138,FDJ,00h 00' 00'',-,21,2011,,
1,CHRIS ANKER SORENSEN,178,TEAM SAXO BANK-TINKOFF BANK,00h 00' 00'',-,20,2012,,
1,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,00h 00' 00'',-,21,2013,,
1,ALESSANDRO DE MARCHI,53,CANNONDALE,00h 00' 00'',-,20,2014,,
1,ALESSANDRO DE MARCHI,53,CANNONDALE,00h 00' 00'',-,21,2014,,
1,ROMAIN BARDET,12,AG2R LA MONDIALE,00h 00' 00'',-,21,2015,,
1,PETER SAGAN,32,TINKOFF,00h 00' 00'',-,21,2016,,
1,WARREN BARGUIL,143,TEAM SUNWEB,00h 00' 00'',-,21,2017,,
1,DANIEL MARTIN,91,UAE TEAM EMIRATES,00h 00' 00'',-,21,2018,,
1,JULIAN ALAPHILIPPE,21,DECEUNINCK - QUICK - STEP,00h 00' 00'',-,21,2019,,
1,MARC HIRSCHI,204,TEAM SUNWEB,00h 00' 00'',-,21,2020,,
1,FRANCK BONNAMOUR,223,B&B HOTELS P/B KTM,00h 00' 00'',-,21,2021,,
1,WOUT VAN AERT,16,JUMBO - VISMA,00h 00' 00'',-,21,2022,,
1,VICTOR CAMPENAERTS,182,LOTTO DSTNY,00h 00' 00'',-,21,2023,,
